#{"t_start": 1763679237.74574, "env_id": "hover-aviary-v0"}
r,l,t
11.52036,7,2.613091
22.853061,14,2.684358
13.102759,8,2.736512
13.146542,8,2.786057
28.805744,18,2.847688
14.647135,9,2.898685
28.848889,19,2.961203
14.771395,9,3.015274
16.45311,10,3.077482
21.784063,13,3.144965
35.276881,21,3.309671
16.547753,10,3.377947
11.579244,7,3.436107
13.077618,8,3.494049
14.813088,9,3.549978
11.467811,7,3.611159
26.001446,16,3.701989
15.01376,9,3.758077
17.840423,11,3.826798
16.511689,10,3.897312
19.554608,12,3.958267
16.21222,10,4.024863
16.46827,10,4.117783
19.919297,12,4.224566
9.793489,6,4.279506
44.438462,29,4.351558
14.780742,9,4.402898
12.954592,8,4.453945
34.376143,43,4.568646
32.89914,40,4.685777
20.939329,13,4.753438
40.084866,27,4.851612
19.440672,12,4.910687
17.989344,11,4.966406
16.68781,10,5.025488
20.500969,13,5.094008
20.996438,13,5.1877
16.47646,10,5.332249
20.826624,13,5.451406
15.04886,9,5.539508
11.562272,7,5.630759
25.41545,17,5.715557
33.359403,20,5.80263
16.288114,10,5.855006
19.663476,12,5.908861
12.996944,8,5.972337
17.880379,11,6.030127
9.928717,6,6.085495
13.258319,8,6.242627
28.00717,17,6.648702
18.228902,11,6.730232
29.740945,18,6.827949
16.292977,10,6.941965
9.92782,6,6.996485
14.618694,9,7.063874
21.701507,13,7.163933
13.092609,8,7.335779
19.329141,12,7.445949
16.454116,10,7.602123
13.109687,8,7.691366
20.638398,13,7.765949
14.827032,9,7.837239
21.230975,13,7.906002
11.569653,7,7.9678
11.63838,7,8.022941
11.487971,7,8.082028
16.286038,10,8.138856
34.788165,22,8.252902
16.425201,10,8.370077
14.881724,9,8.441683
11.508751,7,8.503819
22.691342,14,8.593432
21.433074,13,8.673228
29.479856,30,9.091152
19.628531,12,9.177451
14.534289,9,9.236546
19.317029,12,9.354685
14.703469,9,9.496732
28.806291,18,9.635696
16.478628,10,9.703602
22.51247,14,10.02122
31.375012,19,10.210994
14.808944,9,10.290938
18.043451,11,10.481135
25.08207,16,10.553599
13.092716,8,10.602973
13.032691,8,10.654961
11.396759,7,10.703964
14.891711,9,10.761425
17.712294,11,10.816387
14.78404,9,10.905738
21.702255,13,10.960374
17.658581,11,11.020375
19.845842,12,11.076365
13.255225,8,11.129364
16.358678,10,11.187363
21.243544,13,11.246706
13.222711,8,11.299779
27.17105,17,11.358706
13.174808,8,11.408017
19.611423,12,11.462621
11.323682,7,11.511621
11.552745,7,11.563589
11.505639,7,11.614925
40.194295,24,11.686994
31.678136,21,11.750411
14.575011,9,11.802479
25.750517,16,11.86141
16.332261,10,11.913409
13.219757,8,11.970215
13.188119,8,12.028712
38.333396,90,12.195096
16.427678,10,12.247365
13.16659,8,12.300599
20.884316,13,12.365599
37.3703,56,12.467707
14.749594,9,12.517699
9.902435,6,12.563696
14.741796,9,12.613698
29.569958,18,12.673696
14.711317,9,12.724085
11.474252,7,12.771823
11.464308,7,12.818894
14.784805,9,12.868897
48.890299,30,12.939897
11.499433,7,12.990821
11.458704,7,13.042871
9.857227,6,13.093046
19.733766,12,13.157103
16.526979,10,13.221047
21.139606,13,13.291043
22.096163,14,13.354454
13.165283,8,13.414517
17.852768,11,13.467831
14.535555,9,13.52147
13.15561,8,13.57352
17.472753,11,13.627524
16.574761,10,13.681147
14.948223,9,13.732715
13.196329,8,13.783787
27.151204,17,13.848715
25.906278,16,13.912637
14.721189,9,13.970842
20.774875,13,14.066246
17.903092,11,14.135302
14.853166,9,14.202674
44.872508,38,14.309436
21.008147,13,14.371186
11.495009,7,14.440611
18.108143,11,14.515198
70.898976,67,14.693222
11.410657,7,14.77069
18.098004,11,14.844174
22.670618,14,14.915266
34.018087,21,14.992664
13.317154,8,15.069979
18.12696,11,16.737626
15.931489,10,16.81342
13.103641,8,16.882938
9.900437,6,16.941352
21.131318,13,17.003278
19.684793,12,17.062218
16.586025,10,17.122938
23.283642,14,17.185579
20.954255,13,17.245547
11.635863,7,17.315632
14.733469,9,17.392225
16.292268,10,17.457863
13.190081,8,17.515389
38.27498,24,17.592597
19.606529,12,17.652306
26.530918,16,17.718089
19.663051,12,17.788084
13.052306,8,17.838978
16.577378,10,17.893034
16.587944,10,17.951564
18.292957,11,18.005102
21.971689,14,18.062708
14.91493,9,18.121838
11.37851,7,18.189385
14.691195,9,18.252467
14.583527,9,18.324391
19.729104,12,18.412242
32.538697,20,18.523495
14.831187,9,18.614608
13.069902,8,18.691594
29.912162,18,18.75428
18.162655,11,18.806218
29.098944,18,18.865428
14.953501,9,18.915437
26.780069,17,18.97351
11.484877,7,19.021765
13.05497,8,19.076622
14.767701,9,19.126904
9.852764,6,19.173745
13.032454,8,19.22224
21.18128,13,19.27962
9.862464,6,19.327344
12.893054,8,19.376979
18.154512,11,19.428981
16.181588,10,19.479978
23.520453,14,19.535418
19.603887,12,19.587783
21.50375,13,19.641698
9.853157,6,19.688695
25.513616,16,19.748698
50.209166,36,19.827767
24.31703,15,19.883694
25.695381,16,19.940696
19.744237,12,19.992697
19.503295,12,20.046077
27.711889,18,20.10509
13.107293,8,20.154163
31.493886,20,20.21809
9.871522,6,20.267099
19.604265,12,20.320099
29.383329,18,20.378642
22.337488,14,20.433649
17.823684,11,20.48572
14.74194,9,20.535645
17.707564,11,20.59651
16.58838,10,20.648347
