time/total_timesteps,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/n_updates,train/approx_kl,train/value_loss,train/clip_range,train/explained_variance,train/loss,train/entropy_loss,train/policy_gradient_loss,train/std,train/learning_rate,train/clip_fraction
2048,19.20528098,161,13.25,12,1,,,,,,,,,,,
4096,19.17480833,173,12.85,23,2,10,0.020267975,1.3784449300728738,0.2,-0.5677647590637207,0.2597962021827698,-5.659043323993683,-0.0369520307489438,0.9925880432128906,0.0003,0.139111328125
6144,20.824912570000002,178,14.41,34,3,20,0.017972276,0.43849702733568846,0.2,-0.022624731063842773,0.09023136645555496,-5.623320731520653,-0.044174023630330336,0.9816851615905762,0.0003,0.152734375
8192,21.737257570000008,186,14.11,43,4,30,0.016555233,0.40352406273595987,0.2,0.3933234214782715,0.07434350252151489,-5.580129261314869,-0.04243832447391469,0.971954345703125,0.0003,0.135791015625
10240,22.734310229999995,179,15.38,56,5,40,0.020199526,0.38751113559119404,0.2,0.41700291633605957,0.05063595622777939,-5.520077274739743,-0.0504132314294111,0.9529435038566589,0.0003,0.18671875
12288,27.263749779999998,190,21.3,64,6,50,0.019816367,0.4576105178333819,0.2,0.5583895444869995,0.09919461607933044,-5.467504450678826,-0.051251863417564894,0.9459343552589417,0.0003,0.195556640625
14336,28.06476051,194,21.85,73,7,60,0.021804374,0.4624254765920341,0.2,0.6035436391830444,0.14448711276054382,-5.427780337631702,-0.057154347089817745,0.9327511191368103,0.0003,0.20751953125
16384,28.40068424,200,21.71,81,8,70,0.022094104,0.34868758083321155,0.2,0.6575906276702881,0.005739577114582062,-5.363085226714611,-0.06105657403240912,0.9176827073097229,0.0003,0.225244140625
18432,31.7329779,206,26.0,89,9,80,0.025715237,0.3003545867279172,0.2,0.48850733041763306,-0.012186288833618164,-5.306995165348053,-0.06375308293354465,0.906745970249176,0.0003,0.246923828125
20480,34.805241560000006,214,28.37,95,10,90,0.022254676,0.26837810603901746,0.2,0.5967985391616821,0.003078050911426544,-5.253668738901615,-0.06495197471231222,0.8945592641830444,0.0003,0.246630859375
22528,39.04476614,222,34.01,101,11,100,0.02145409,0.23025040356442333,0.2,0.7479150295257568,-0.004747040569782257,-5.187854170799255,-0.06256589755648748,0.8794397711753845,0.0003,0.239892578125
24576,45.270640920000005,230,42.92,106,12,110,0.021997213,0.2714732853928581,0.2,0.7927980422973633,0.025938302278518677,-5.1274959534406666,-0.06195592634903733,0.8664006590843201,0.0003,0.22734375
26624,50.14285953999999,238,46.89,111,13,120,0.022988336,0.2824531307676807,0.2,0.8154520988464355,0.04623567312955856,-5.05818268507719,-0.06326143446058267,0.8489487767219543,0.0003,0.23115234375
28672,53.55320905000001,245,50.74,116,14,130,0.021236202,0.29824487487785517,0.2,0.8006058931350708,0.046664416790008545,-4.995974209904671,-0.06225693036685698,0.8395881652832031,0.0003,0.2296875
30720,59.930399140000006,252,53.96,121,15,140,0.02371658,0.294049868080765,0.2,0.8187865614891052,0.02108439803123474,-4.941347351670265,-0.06418064147001132,0.8275095224380493,0.0003,0.247998046875
32768,68.73501145,259,59.01,126,16,150,0.023264404,0.29852213519625365,0.2,0.7887283563613892,0.06626752018928528,-4.885798364877701,-0.06320593403070233,0.8146119117736816,0.0003,0.2404296875
34816,74.63219169,266,62.63,130,17,160,0.019970918,0.3777052572928369,0.2,0.7572544813156128,0.07076700776815414,-4.816475814580917,-0.06463645507465117,0.8014016151428223,0.0003,0.22568359375
36864,82.29152373,269,67.32,136,18,170,0.02546319,0.3107858405914158,0.2,0.8046755194664001,0.03040917217731476,-4.761145663261414,-0.07087826648930787,0.7907941937446594,0.0003,0.276708984375
38912,88.01928822999999,273,71.53,142,19,180,0.023896549,0.25353145133703947,0.2,0.8531466722488403,-0.01796925812959671,-4.706183542311192,-0.0663090319125331,0.7800387144088745,0.0003,0.246435546875
